,flight_id,close_to_pool
97,06547f1d55664c1324b092a32c0148a0,True
127,d321800347201ef0698770524ffa02f6,True
128,50e7e9f73fb3b5f296450746729dccc9,True
552,518968250594a84a6a7be8c5d3beefcc,True
557,fb53c22dcbf198327947b21fa50cabf3,True
770,110596e4b628950c6903e677ac980cbf,True
908,a637307ef099ae347bb0dd83b8d7dcc0,True
969,51e09f1b8cdaa15cd5f0d45bf2b962bb,True
1157,62f103f0de8f97f39438a5e9fe19d181,True
1520,b394853a11125665f2b87753ed47805b,True
1567,683839915761cb578b419defc0bc60db,True
1829,1b71eb3c18f73261d5e132101e807555,True
1862,3e2be9e384ed1b9532e514beb2bd68fe,True
1937,5997a46262d52fe717d7ea74aec53b03,True
1954,7a2b1263d77a9faaa2022794efb4fb1e,True
2033,6dbed156f6416d3625747f560bac9f0d,True
2128,06e3950a6b9527edd90a47ab92a3f6c7,True
2259,b7050d8b539c832120af5ba2221d2745,True
2278,ad952488f0d7b440f8d6c0c2e61bc8b2,True
2358,0d914b389e7f6ed3f5636865c4997a1a,True
2379,cd8b0c210a45faf3dfab8fb939a3769b,True
2391,b224d8f6042cbce114ebf56cbd91fdb5,True
2708,c7647ea5182614cbf7d5d6d9ef1bca32,True
2730,79889adc2454fc93ee3e0a1061a24f4e,True
2750,f50e7876cd7a19c4dc6fba143dcaf607,True
2762,aee28af8bf1475be0724b0b05a658f7b,True
2842,56f2f1a0347efcb324e25127a5b874d5,True
2846,b1424b696685de81760686035aaf5a8d,True
2900,57b48bf295fd2c3afb12deaa14cb5a0d,True
3037,15e53ae6648fb19ff8b56de8876e381f,True
3112,ecb02fcdd6914b3cceda53977b5499de,True
3502,38d0a1f2326ade858bfe854b994ff51c,True
3597,0ab2d5263b233a2e4eed43f21539a014,True
3721,be9082a773de5050fa09e67d83c11cc1,True
3881,76eeafb6b16f4e7e791ac6dc15d9aa65,True
3976,6b4c1861985e7e427421f2a7facd5c30,True
4145,679bc0d36c50554dcc89bd3523973eeb,True
4579,354599448e71bccb66dd21017d01248a,True
4631,0491e29558a0adc6c197d7ba5c46e39c,True
4699,ecd480c52eb180d6ba48d80fadd196de,True
4907,248b78d59eabea568039078f4e117f99,True
5216,970648bfa0b97a1fc59ba537d7598655,True
5292,efe37ee2a4097039aa76881ec227d9cb,True
5460,35153df1f539c8f276eca39bd81b791b,True
5473,901efae6a74d7127b7c5e46e375cdebc,True
5625,feef1d5cfc74022966e36f063aa00719,True
5795,6f7eec8f498df3621c8377f2c7a2b35e,True
5976,f2d997b6d82cdc1977e1956fcd53af8b,True
6100,fb0b3d27e92d23a83c4c78df236cfae8,True
6940,88c16287bd70500c87afb14619ffac87,True
7042,4770a444f16575c64fb798ef0e152e8f,True
7223,d9a2d5f9814e4e9834448c3858985581,True
7571,498fa22b1bcf72ff1248febb875420a2,True
7598,edae62c0f9d7913cb4fc9e197d1c99d0,True
7722,36ce06a8cde168166981179add22aa7c,True
7918,cddc082f8bee9f53f9eaa4a255e2d6a9,True
7944,569e53878ac9df2f1268cca046dae76f,True
8165,910c221c255a67d49536604c09ce8893,True
8632,ded16bd6ac7d61022075936e2a674008,True
